Net,From,To,Direction or rule
CAS2_3V3,U5.B7,U13.cas2_n,U5.A7 from J1.B21
LWR_3V3,U14.B0,U13.lwr_n,U14.A0 from J1.B28
MRES_3V3,U14.B1,"U13.reset_n; R41.1",U14.A1 from J1.B2; R41.2 to GND
UWR_3V3,U14.B2,TP_UWR_3V3,U14.A2 from J1.B29
AS_3V3,U14.B3,TP_AS_3V3,U14.A3 from J1.B18
TIME_3V3,U14.B4,TP_TIME_3V3,U14.A4 from J1.B31
CTRL2_UNUSED,U14.A5-A7,GND,Do not leave enabled translator inputs floating; B5-B7 no-connect
LOW_DATA_DIR,U16.Y,U6.DIR,U16.A from J1.B28 LWR_N; high only during low-byte writes
MEM_D0-7,U6.B0-B7,"U2.DQ0-DQ7; U17.DQ0-DQ7; U18.DQ0-DQ7; U13.data_in0-7; U1.GPIO21-28",U6 A-side to J1 VD0-VD7; bidirectional by LOW_DATA_DIR
MEM_D8-15,U7.B0-B7,"U2.DQ8-DQ15; U1.GPIO29-36",U7 DIR low; A-side to J1 VD8-VD15; disabled in SMS mode
ROM_A0-20,U13.rom_a0-20,"U2.A0-A20; U1.GPIO0-20",CPLD drives console mapping; tri-states for USB programming
ROM_CE_N,U13.rom_ce_n,"U2.CE_N; U1.GPIO37; R31.1",R31.2 to 3V3; CPLD releases in USB mode
ROM_OE_N,U13.rom_oe_n,"U2.OE_N; U1.GPIO38; R32.1",R32.2 to 3V3; CPLD releases in USB mode
ROM_WE_N,U1.GPIO39,"U2.WE_N; R12.1",R12.2 to 3V3; MCU input unless programming
FRAM_A13,U13.fram_a13,"U17.A13; U18.A13; R42.1",R42.2 to GND; Sega follows CPU A13; Codemasters bank bit 0
FRAM_A14,U13.fram_a14,"U17.A14; U18.A14; R33.1",R33.2 to GND; Sega bank bit; Codemasters bank bit 1
FRAM_CE_N,U13.fram_ce_n,"U17.CE_N; R34.1",R34.2 to 3V3; logical FRAM A15=0
FRAM_HI_CE_N,U13.fram_hi_ce_n,"U18.CE_N; R43.1",R43.2 to 3V3; logical FRAM A15=1
FRAM_OE_N,U13.fram_oe_n,"U17.OE_N; U18.OE_N; R35.1",R35.2 to 3V3
FRAM_WE_N,U13.fram_we_n,"U17.WE_N; U18.WE_N; R36.1",R36.2 to 3V3
USB_MODE_3V3,"R29.2; R30.1",U13.usb_mode,R30.2 to GND; independent VBUS/2 sense for CPLD output release
SMS_MODE_3V3,SW2 pole A common,"U13.sms_mode; Q1-Q3 gates; SW3.1",SW2 selects 3V3 in SMS and GND in MD; R37-R39 pull gates down
SMS_MODE_5V,SW2 pole B common,U15.1B,SW2 selects CART_5V in SMS and GND in MD
SMS_MAPPER_CM_3V3,SW4 common,"U13.codemasters_mapper; R44.1",R44.2 to GND; SW4 selects 3V3 for Codemasters and GND for Sega; power-off only
PAUSE_GATE,SW3.2,"Q4.G; R40.1",R40.2 to GND; only high when SMS_MODE_3V3 exists and SW3 pressed
M3_OPEN_DRAIN,Q1.D,J1.B30,Q1.S to GND; never pull up
VA21_OPEN_DRAIN,Q2.D,J1.B9,Q2.S to GND; also translated as address in MD
VA22_OPEN_DRAIN,Q3.D,J1.B10,Q3.S to GND; never pull up
PAUSE_OPEN_DRAIN,Q4.D,J1.B11,Q4.S to GND; SMS NMI pause
CART_N,J1.B32,R13.1,R13.2 to GND
DIR_ADDR_CTRL,"U3-U5.DIR; U14.DIR",CART_5V,Translate console A-side to 3V3 B-side
DIR_DATA_HIGH,U7.DIR,GND,Translate 3V3 memory B-side to console A-side
ROM_STATIC_STRAPS,U2.RESET_N/WP_N/BYTE_N or mode pins,"R25-R27 to 3V3 as required",Confirm exact names/polarities from ordered package datasheet
BOOT_QSPI,U1.QSPI pins,U9.CS/CLK/IO0-3,Dedicated XIP bus per current RP2350 reference
STAGE_MISO,U1.GPIO40,U10.DO,SPI1 RX staging flash
STAGE_CS,U1.GPIO41,U10.CS_N,GPIO-controlled chip select
STAGE_SCK,U1.GPIO42,U10.CLK,SPI1 SCK staging flash
STAGE_MOSI,U1.GPIO43,U10.DI,SPI1 TX staging flash
USB_SENSE_PROGRAM,U1.GPIO44,"R7.2; R8.1; SW1.1",R8.2 and SW1.2 to GND; VBUS/2 normally and low on button
LED_GREEN,U1.GPIO45,R9.1,R9.2 to D3 anode; LED cathode GND
LED_AMBER,U1.GPIO46,R10.1,R10.2 to D4 anode; LED cathode GND
LED_RED,U1.GPIO47,R11.1,R11.2 to D5 anode; LED cathode GND
CPLD_JTAG,U13.TCK/TMS/TDI/TDO,J4,J4 also carries 3V3 and GND; do not expose 5V
